index,tweet,sentiment,score,all_hashtaged_words,VanderSentiment_pos,VanderSentiment_neg,VanderSentiment_neu,VanderSentiment_overall,polar_word_count_pos,polar_word_count_neg,Sentinent140_scores,hashtag_polarity,emotion_word_count_anticipation,emotion_word_count_disgust,emotion_word_count_fear,emotion_word_count_joy,emotion_word_count_negative,emotion_word_count_positive,emotion_word_count_sadness,emotion_word_count_surprise,emotion_word_count_trust,emotion_word_count_anger,score_hashtag_emotion_lexicon,emoticons_score
10444,never bring back meech and bridgette crying because someone looks at you ugh and bridgette,anger,0.479,[],0,0.312,0.688,-0.7096,1,1,0,neural,0,0,0,0,1,0,1,0,0,0,0,0
10445,some people would rather hang on to their indignant anger weary sigh,anger,0.479,[],0.062,0.486,0.452,-0.8176,0,3,-3.472,neural,0,0,0,0,3,0,1,0,0,2,0,-2
10446,thanks for saying my wife and i were getting our iphones today and then losing both of them with no eta,anger,0.479,['thanks'],0.113,0.187,0.7,-0.2263,0,1,-0.777,neural,0,0,0,0,1,0,1,0,0,1,0.120852402,0
10447,thatmoment youre watching and your bubble is burst by finding out kylexy is gay and married loudlycryingface winkingface,anger,0.479,"['worstcelebritycooks', 'nochance', 'KindaDontMind😉']",0,0,1,0,0,0,0,neural,0,0,0,0,0,0,0,0,0,0,0,0
10448,women dont like girls because we resent them for looking so greatwe wish we still looked like that,anger,0.479,['washed'],0.235,0.164,0.601,0.3956,3,1,0,neural,0,0,0,0,1,0,0,0,0,1,0,0
10449,hey folks sorry if anything offensive got posted on here yesterday my account got hacked all fixed now though i hope ,anger,0.479,"['angry', 'annoyed']",0.108,0.26,0.632,-0.4767,1,2,0,neural,1,1,0,1,1,1,0,1,0,1,2.472844959,0
10450,then u understand that rage is often not pretty or controlled or rational it is often visceral not always logical,anger,0.479,[],0,0.257,0.743,-0.7374,4,1,1.054,neural,1,0,0,1,1,3,0,0,0,1,0,0
10451,my leg feels like its gonna burst yet im still expected to go into work,anger,0.333,[],0.152,0,0.848,0.3612,1,0,-0.729,neural,1,0,0,0,0,0,0,0,0,0,0,0
10452,the best revenge is to move on get over it and continue to succeed never give someone the satisfaction of watching you suffer,anger,0.479,[],0.293,0.196,0.511,0.5267,3,2,-2.911,neural,3,0,1,1,2,2,0,2,0,1,0,-2
10453,get to work and theres a fire drill,anger,0.479,"['fire', 'outthere', 'inthedark']",0,0.255,0.745,-0.34,0,0,0,neural,0,0,1,0,0,0,0,0,0,0,0.853341317,0
10454,lt feel everything she would remember everything evanora hoped this would serve to fuel the creatures anger and run rabid gt,anger,0.479,[],0.178,0.14,0.682,0,0,1,0,neural,1,1,1,0,3,0,1,0,0,2,0,0
10455,isbored exactly what i have been saying on fb,anger,0.479,['bitter'],0,0,1,0,0,0,0,neural,0,0,0,0,0,0,0,0,0,0,0.85455127,0
10456,get to work and theres a fire drill,anger,0.479,"['fire', 'burning', 'outthere', 'inthedark']",0,0.255,0.745,-0.34,0,0,0,neural,0,0,1,0,0,0,0,0,0,0,0.853341317,0
10457,pennr has turned into a rather fiery gg radical,anger,0.479,[],0.19,0.207,0.603,-0.0516,1,1,0.742,neural,0,0,0,0,0,0,0,0,0,0,0,0
10458,significantly with a smile let me,anger,0.479,['bitter'],0.333,0,0.667,0.3612,1,0,-0.176,neural,0,0,0,1,0,1,0,1,0,0,0.85455127,0
10459,is it true none of your players are cops do they drink chilled bitter are your players walter mitty types,anger,0.479,[],0.119,0.119,0.763,0,0,1,0,neural,0,0,0,1,0,1,0,0,0,0,0,0
10460,brendan rodgers looks fuming loudlycryingface,anger,0.479,[],0,0.481,0.519,-0.5719,0,0,0,neural,0,0,0,0,1,0,0,0,0,1,0,0
10461,ummm the blog says with simon stehr faking 7th ill expect an investigation forthwith this is an,anger,0.479,[],0,0.272,0.728,-0.6808,0,1,0,neural,2,1,1,0,1,1,1,1,0,1,0,0
10462,my baskets are better when im in a bad mood someone irritate me before practice please,anger,0.479,[],0.221,0.268,0.511,-0.2732,2,2,1,neural,0,1,1,0,1,1,1,0,0,1,0,1
10463,be chill af if you want to offend someone,anger,0.479,[],0.124,0.21,0.667,-0.2263,1,2,-0.539,neural,0,1,0,0,1,0,0,0,0,1,0,0
10464,report good thing the fbi didnt offend them,anger,0.479,[],0.444,0,0.556,0.5842,1,1,0,neural,1,1,0,1,1,1,0,1,0,1,0,0
10465,you know cyran still hasnt done makeup based on jeongguks tiddy like i suggested and im,anger,0.479,['offended'],0.143,0,0.857,0.3612,1,0,-0.38,neural,0,0,0,0,0,0,0,0,0,0,0,0
10466,no tyson fury beat the man who been at top for years danny garcia should be above bradley pacquaio frampton,anger,0.479,[],0.2,0.092,0.708,0.3814,2,1,0,neural,1,0,1,0,1,1,1,0,0,1,0,0
10467,so i wished my sis 12 midnight but received no reply from her my 2nd sis just wished her got a reply you know whos the fav,anger,0.479,[],0.126,0.088,0.786,0.296,1,0,0.641,neural,0,0,0,0,0,1,0,0,0,0,0,0
10468,tf72 im not surprised i would be fuming facewithsteamfromnose,anger,0.479,[],0,0.434,0.566,-0.656,0,0,0,neural,0,0,0,0,1,0,0,1,0,1,0,0
10469,oh these old things on my face nah theyre not tears from school related anger and frustration nope never,anger,0.479,[],0.067,0.33,0.603,-0.7604,0,2,0,neural,0,0,0,0,2,0,0,0,0,2,0,0
10470,british humour should offend and challenge mainstream views hat off to clarkeson the ultra left should go and kneel before allah,anger,0.479,[],0.179,0.089,0.732,0.296,2,2,0,neural,0,1,1,0,2,0,0,0,0,2,0,0
10471,i need all your attention if i dont ill pout,anger,0.479,[],0.206,0,0.794,0.3252,0,3,-0.931,neural,0,1,1,0,1,1,1,0,0,1,0,0
10472,im like half expecting some rabid troll to come into my mentions accusing me of being a csa apologist or something lmao,anger,0.479,[],0.236,0.063,0.701,0.6908,1,2,4,neural,2,1,3,0,3,0,1,0,0,3,0,4
10473,because it was a perfect illusion but at least now i know what it was,anger,0.479,"['ladygaga', 'iscalming#mysoul']",0.144,0,0.856,0.3291,1,2,-0.219,neural,1,0,0,1,1,1,0,1,0,0,0,0
10474,puzzle investing opening portland feodal population is correlative straight a snorting infuriate xlzjyhg,anger,0.458,[],0.118,0.199,0.683,-0.3182,1,2,0,neural,0,0,0,0,0,1,0,0,0,0,0,0
10475,snart gives a frustrated growl before stepping closer and putting his gun through the barrier no alarms and nothing happened he,anger,0.458,[],0.069,0.28,0.651,-0.669,0,2,-0.217,neural,0,0,2,0,4,0,0,0,0,4,0,0
10476,seriously dude buy some bubble tape for your phones broke another phone,anger,0.458,['snap'],0,0.31,0.69,-0.5423,0,2,-0.771,neural,0,0,1,0,1,0,1,0,0,0,0,0
10477,when you forget to mention you were bought dreamboys tickets facewithrollingeyes facewithtearsofjoy,anger,0.458,['raging'],0,0.147,0.853,-0.2263,0,1,0,neural,0,0,0,0,1,0,0,0,0,0,1.366402009,0
10478,now that wrn has snapchat back its a constant battle to see who can get the ugliest snap of one another facewithtearsofjoy upsidedownface survival,anger,0.458,['snap'],0,0.225,0.775,-0.7506,2,1,0,neural,0,0,0,0,1,1,0,0,0,1,0,0
10479,nick said hes territorial and hell growl if someone gets too close to me,anger,0.458,['hesananimal'],0,0.261,0.739,-0.6808,0,4,-0.176,neural,0,1,2,0,2,0,1,0,0,2,0,0
10480,i dont mean to offend anyone but 93 7 literally blames everything on white people in some cases its true but a lot of times its not,anger,0.458,[],0.157,0.109,0.734,0.1516,1,2,-0.753,neural,0,1,0,1,1,1,0,0,0,1,0,0
10481,he totally knew about it trump finally gets revenge for his son in laws prosecutionimprisonment and throws christie under the bus,anger,0.458,[],0,0.145,0.855,-0.5267,1,1,-0.605,neural,2,1,1,1,1,1,0,3,0,1,0,0
10482,inner conflict happens when we are at odds with ourselves honor your values and priorities,anger,0.458,"['anger', 'innerconflict', 'conflict', 'values']",0.292,0.114,0.594,0.5574,2,1,0.762,neural,0,0,1,0,1,1,1,0,0,1,1.092345791,0
10483,are belittling kitty straight a service provoke lift aboard wycelv,anger,0.458,[],0.236,0.213,0.551,-0.1779,1,2,0,neural,0,0,0,0,0,0,0,0,0,0,0,0
10484,i played a game where john elway was sacked 3x and fumbled all 3x is this the same john elway i know of,anger,0.458,['madden'],0.098,0,0.902,0.34,0,1,0,neural,0,2,0,0,2,0,0,0,0,0,0,0
10485,and she got all angry telling me but what would be doing a 40 year old guy looking for a girl like you and i felt,anger,0.458,[],0.111,0.073,0.816,0.2732,1,1,-0.552,neural,0,1,0,0,1,0,0,0,0,1,0,0
10486,for your next series will u do a celebrity firefighting show and just chuck them all in a burning building and do the voiceover,anger,0.458,[],0,0,1,0,3,0,0.655,neural,1,1,0,1,1,2,0,1,0,1,0,0
10487,like i cant do 12 hours worth of standing or calorie burning in 3 hours loudlycryingface loudlycryingface loudlycryingface loudlycryingface,anger,0.458,['1stworldprobs4vs'],0.206,0,0.794,0.5267,2,0,0,neural,0,0,0,0,0,2,0,0,0,0,0,0
10488,before revenge you feel good after revenge you feel worse hundredpoints,anger,0.458,[],0.146,0.5,0.354,-0.7906,1,3,0,neural,3,0,3,1,3,1,1,3,0,2,0,0
10489,i wonder what would happen if i were to tell some people the truth,anger,0.458,"['savage', 'uhoh']",0.15,0,0.85,0.3182,2,0,0,neural,1,0,0,0,0,1,0,0,0,0,1.113624415,0
10490,take public opinion on revenge with pakistan if govt is unable to decide,anger,0.458,[],0,0.221,0.779,-0.5267,0,2,-0.135,neural,2,0,1,0,2,1,1,1,0,1,0,0
10491,so you wouldnt date me,anger,0.458,[],0,0,1,0,0,0,-0.176,neural,0,0,0,0,0,0,0,0,0,0,0,0
10492,the teams that face barca and bayern after a defeat are the ones who face the wrath,anger,0.458,[],0,0.158,0.842,-0.4588,0,2,-0.227,neural,0,0,1,0,2,0,0,0,0,1,0,0
10493,i just dont understand why everyone is so we all just want to live and thrive dont we,anger,0.458,['angry'],0.071,0,0.929,0.0772,6,0,0,neural,0,0,0,0,0,0,0,0,0,0,1.427124553,0
10494,hell is hot and boiling isi ewu,anger,0.458,[],0,0.434,0.566,-0.6808,1,2,0,neural,0,1,1,0,1,0,1,0,0,2,0,0
10495,should not be a model for,anger,0.458,"['welfarereform', 'snap.']",0,0,1,0,0,0,0,neural,0,0,0,0,0,1,0,0,0,0,0,0
10496,yeah u gotta make them heel i know u need their votes so u have to wait but when u lose theyre really in for your wrath,anger,0.458,[],0.053,0.118,0.829,-0.4497,0,3,-0.227,neural,1,1,2,0,4,0,1,1,0,2,0,0
10497,well trumps rabid base needs 2 hear this amp u can always find an overseer like king to say it,anger,0.458,[],0.204,0,0.796,0.5574,2,0,0,neural,1,1,1,0,1,1,1,0,0,1,0,0
10498,skipping meals is the national way of showing and,anger,0.458,"['disappointment', 'anger.', 'wiz']",0,0,1,0,0,0,0,neural,0,0,0,0,0,0,0,0,0,0,0.513624683,0
10499,streets of rage 2 was hard to find for a while and then itunes stepped in and the guys doing the vinyl made it so simple,anger,0.458,[],0,0.172,0.828,-0.6124,1,2,0.816,neural,0,0,0,0,1,0,0,0,0,1,0,0
10500,bad news if ordered online it hasnt gone through same happened to me had to re order on the phone,anger,0.458,[],0,0.156,0.844,-0.5423,0,1,-0.771,neural,0,1,1,0,1,0,1,0,0,1,0,0
10501,my heart because you left me for so long againslight pout but it turned to a smileheheh just kidding no im fine,anger,0.458,[],0.156,0.174,0.669,-0.125,2,3,2,neural,1,0,0,0,0,0,0,0,0,0,0,2
10502,why are people so angry toward veggie burgers at in n out wtf,anger,0.458,[],0,0.422,0.578,-0.8419,0,1,-5.405,neural,0,1,0,0,1,0,0,0,0,1,0,-4
10503,i mean im not done watching the pilot but its nice to see a group of actors perform without story lines dripping relentless nihilism,anger,0.458,[],0.185,0,0.815,0.6124,1,2,0,neural,0,0,1,0,1,1,0,0,0,0,0,0
10504,checked in for my flight to toronto took seat 3d just to infuriate,anger,0.458,[],0,0.211,0.789,-0.4939,1,1,-2,neural,0,0,0,0,0,0,0,0,0,0,0,-2
10505,egyptian officials expressed frustration and outrage over the obamahillary administration’s support of the muslim brotherhood,anger,0.579,[],0.128,0.303,0.569,-0.5719,1,2,0,neural,0,1,0,0,2,1,0,0,0,2,0,0
10506,tiff you better hurry cause eyes,anger,0.458,[],0.367,0,0.633,0.4404,1,0,-0.451,neural,1,0,0,0,1,0,0,0,0,1,0,0
10507,its buzzing pathetically for sympathy if you let it out it will twirl its moustache chuckle and sting you,anger,0.458,['Psychowasp'],0.217,0.117,0.667,0.34,1,3,0.676,neural,1,0,1,1,1,2,1,1,0,1,0,0
10508,matt and i just did a psychological study on provocation in abusive relationships,anger,0.458,[],0,0.259,0.741,-0.6369,1,2,-0.452,neural,0,0,0,0,1,1,0,0,0,1,0,0
10509,no greater wrath than a woman scorned,anger,0.458,[],0,0.26,0.74,-0.2755,0,1,0,neural,0,0,1,0,1,1,0,0,0,1,0,0
10510,they might get donal óg sure they wont have him in cork as hes to fiery for dopey frank amp his cult,anger,0.458,[],0.093,0.097,0.81,-0.0258,3,0,1.456,neural,1,0,1,0,1,1,0,0,0,0,0,0
10511,just curious as to what you mean no rush no animosity no disdain,anger,0.458,[],0.545,0.109,0.346,0.7805,2,3,-2,neural,0,2,1,0,2,0,1,0,0,2,0,-2
10512,the best revenge is to get yourself a good woman and move on leave her and her hairline to figure themselves out alone,anger,0.438,[],0.224,0.208,0.568,0.3612,2,1,-3.153,neural,2,0,1,1,2,1,1,3,0,1,0,-2
10513,i was talking about further in the expansion with more gear fury always does well towards the end,anger,0.441,[],0.095,0.18,0.725,-0.4364,1,1,-0.358,neural,0,0,1,0,1,1,1,0,0,1,0,0
10514,who knew softballs could sting so bad jimmy fallon has been under a lot of heat for his amp ldquo softballamp rdquo donald trump interview,anger,0.414,[],0,0.158,0.842,-0.6696,1,2,0,neural,0,1,2,0,2,0,1,1,0,2,0,0
10515,yuuuhh facewithrollingeyes loudlycryingface plus clin ep and prevmed ugghhh hahaha,anger,0.438,[],0.286,0,0.714,0.5574,0,0,3.985,neural,0,0,0,0,0,0,0,0,0,0,0,3
10516,←would furrow and her face would redden as she protests it would seem that being seen as unattractive in wukongs eyes was→,anger,0.481,[],0,0.194,0.806,-0.5859,0,2,0,neural,0,1,0,0,1,0,2,0,0,0,0,0
10517,finding out my two best fwendz are going to rage with me at makes this last week of no sleep extra worth it,anger,0.438,[],0.197,0.188,0.615,0.0772,2,1,0,neural,0,0,0,0,1,2,0,0,0,1,0,0
10518,paul forever paul should have won paul played such a better game,anger,0.466,"['BB18', 'angry']",0.5,0,0.5,0.8402,1,1,0,neural,0,0,0,0,0,0,0,0,0,0,1.427124553,0
10519,yep lol,anger,0.438,[],1,0,0,0.6124,1,0,3,neural,0,0,0,0,0,0,0,0,0,0,0,3
10520,yall found me to express yalls displeasure winkingface,anger,0.438,[],0,0,1,0,0,1,0,neural,0,1,0,1,1,1,0,0,0,0,0,0
10521,just got wind of and it doesnt infuriate me just makes me sad for the generation,anger,0.438,['MenForChoice'],0.133,0.157,0.71,-0.121,2,2,0,neural,0,0,0,0,0,0,0,0,0,0,0,0
10522,since the update my loses power nearly 40 faster,anger,0.438,[],0,0.223,0.777,-0.3182,0,0,0,neural,0,0,0,0,0,0,0,0,0,0,0,0
10523,the sun literally burning my skin,anger,0.438,[],0,0,1,0,0,0,0,neural,1,0,0,1,0,1,0,1,0,0,0,0
10524,that feel when you travel 700 miles to pick up a form that arrives in the post two days after you leave,anger,0.438,[],0,0.054,0.946,-0.0516,0,0,-1.766,neural,0,0,0,0,1,1,1,1,0,0,0,-1
10525,hart how did that chop feel you still feel the sting of it looks brutal,anger,0.462,[],0,0.227,0.773,-0.6249,0,2,-0.747,neural,0,0,2,0,3,0,0,0,0,2,0,0
10526,chris ate all my mac n cheese so imma eat all his taffy,anger,0.438,[],0,0,1,0,0,0,-0.42,neural,0,0,0,0,0,1,0,0,0,0,0,0
10527,just to help maintain and boost our status as a world class centre for education culture and tolerance,anger,0.438,['outrage'],0.336,0,0.664,0.765,4,0,0,neural,0,0,0,0,0,2,0,0,0,0,0.870299627,0
10528,chris ate all my mac n cheese so imma eat all his taffy,anger,0.438,['revenge'],0,0,1,0,0,0,-0.42,neural,0,0,0,0,0,1,0,0,0,0,1.012180214,0
10529,its weird because i was discussing sex resentment and confusion in the thing i was writing last night,anger,0.438,[],0,0.312,0.688,-0.7003,0,3,0,neural,1,2,1,1,3,1,1,0,0,2,0,0
10530,as if he heard my thought on the ether my has just posted pic of himself snuggling up with said now im just,anger,0.438,"['ex', 'facebook', 'cats...']",0,0,1,0,2,0,0,neural,1,0,0,0,0,0,0,0,0,0,1.003541294,0
10531,paul forever paul should have won paul played such a better game,anger,0.438,['BB18'],0.5,0,0.5,0.8402,1,1,0,neural,0,0,0,0,0,0,0,0,0,0,0,0
10532,usa she is just jealous and a cry baby,anger,0.438,"['gladsheisgone', 'crybaby']",0,0.466,0.534,-0.7269,1,2,0,neural,0,1,0,1,2,1,1,0,0,1,0,0
10533,and peter your radio piece on off the ball was pure class no digs no revenge a total balanced pro clappinghands clappinghands clappinghands,anger,0.438,[],0.174,0.082,0.744,0.3536,3,1,0,neural,1,0,1,0,1,2,0,1,0,1,0,0
10534,i cancelled by cbs all access live feeds before jc even said vic won afp paul should have won imo,anger,0.438,[],0.28,0.076,0.644,0.7506,2,0,0.641,neural,0,0,0,0,0,0,0,0,0,0,0,0
10535,the best is to move on get over it and continue to never give someone the of watching you,anger,0.438,"['revenge', 'succeed.', 'satisfaction', 'suffer....!!!']",0.189,0,0.811,0.6369,1,0,0.676,neural,1,0,0,0,0,1,0,0,0,0,1.012180214,0
10536,lol im happy with my negative realistic ass self sorry to offend you,anger,0.438,[],0.269,0.442,0.289,-0.4939,2,3,0.676,neural,1,1,0,1,3,1,1,0,0,1,0,0
10537,75 tierney reaches a deep cross to the back post and plays it back across but the alloa defence clear celtic relentless here,anger,0.438,[],0.331,0,0.669,0.7096,3,3,0,neural,0,0,1,0,1,0,1,0,0,1,0,0
10538,cant believe ive only got 2 days off left facewithrollingeyes,anger,0.438,['backtoreality'],0,0,1,0,0,0,0,neural,0,0,0,0,0,0,0,0,0,0,0,0
10539,i look rabid,anger,0.472,[],0,0,1,0,0,0,0,neural,1,1,1,0,1,0,1,0,0,1,0,0
10540,blm was outraged by the shooting in nc the other day turns out the guy pointed gun at police wait for facts before outrage,anger,0.438,[],0,0.305,0.695,-0.8481,0,2,-3.643,neural,1,1,3,0,4,2,0,0,0,3,0,-3
10541,i get embarrassed at the slightest things and then ill fret about it all day i hate it,anger,0.438,[],0,0.375,0.625,-0.8402,0,3,0,neural,0,2,3,0,3,0,2,0,0,2,0,0
10542,relentless pipe thirst,anger,0.438,['sheltered'],0.375,0,0.625,0.0516,0,2,0,neural,1,0,0,0,0,0,1,1,0,0,0,0
10543,i dont get what point is made when reporting on charlotte looting why not explore what looting businesses symbolizes,anger,0.438,[],0,0,1,0,0,0,0,neural,1,0,0,0,0,0,0,0,0,0,0,0
10544,will react angrily when she cant take being provoked any longer,anger,0.438,['Taurus'],0.133,0.206,0.661,-0.2467,1,1,-0.884,neural,0,0,1,0,0,0,0,0,0,1,0,0
10545,seems like a fight ready to rage on,anger,0.438,[],0.329,0.408,0.263,-0.296,2,2,0,neural,1,0,1,0,2,0,0,0,0,2,0,0
10546,so leafy can roast the pokemon go kid but not you what an outrage that just means that he is more relevant than y i mean kisses,anger,0.491,[],0.131,0.131,0.737,0,3,2,0.761,neural,0,1,0,0,1,1,0,0,0,1,0,0
10547,i think paul is whats bitter not the pastry,anger,0.492,[],0,0.259,0.741,-0.4215,0,1,0,neural,0,0,0,1,0,1,0,0,0,0,0,0
10548,i dont see why you think well have a dumbed down simplified offense with brissett he comes from a very complicated system,anger,0.438,[],0.082,0.173,0.745,-0.3182,2,2,-0.426,neural,0,1,1,0,2,0,1,0,0,1,0,0
10549,after becoming boiling hot after slowly melting my heart is frozen,anger,0.438,[],0.296,0,0.704,0.6369,2,3,-0.446,neural,0,0,0,0,0,0,0,0,0,1,0,0
10550,shut up hashtags are cool,anger,0.438,[],0.365,0,0.635,0.3182,0,0,2.007,neural,0,0,0,0,0,1,0,0,0,0,0,1
10551,fury road,anger,0.438,[],0,0.787,0.213,-0.5719,0,1,0,neural,0,0,1,0,1,0,1,0,0,1,0,0
10552,realizing that holding a grudge for long is immaturity is wisdom,anger,0.438,[],0.254,0,0.746,0.5267,1,2,-0.959,neural,2,0,0,0,2,1,0,0,0,2,0,0
10553,that is a disappointment he fakes a pout then starts to chuckle,anger,0.438,[],0.152,0.343,0.506,-0.5267,0,2,1.643,neural,1,1,0,1,1,1,1,1,0,0,0,0
10554,some moving clips on youtube tonight of the vigil held at tulsa metropolitan baptist church for,anger,0.438,"['TerenceCruther', 'justice', 'sadness']",0,0,1,0,1,0,0,neural,2,0,0,1,0,2,0,0,0,0,3.356319973,0
10555,grasp the cobalt womans own which they did fairly easily fair cheeks would ignite into a fiery hue warm was the only,anger,0.438,[],0.244,0.089,0.667,0.4939,5,0,0,neural,0,0,0,0,0,2,0,0,0,0,0,0
10556,directtv is the best apparently you just sit in silent anger dont press or say anything,anger,0.417,[],0.192,0.169,0.639,0.128,3,1,-0.385,neural,0,0,0,0,1,0,0,0,0,1,0,0
10557,i believe women are more fiery because once a month they go through struggle and struggle is what develops a strong character,anger,0.417,[],0.115,0.255,0.63,-0.4576,2,2,0,neural,0,0,2,0,2,0,2,0,0,2,0,0
10558,i lowkey forgot you had twitter and if you dont follow me back im gonna be,anger,0.417,[],0,0,1,0,1,0,0,neural,0,0,0,0,0,0,0,0,0,0,0,0
10559,im also definitely still bitter about the yellow ranger not being asian but asian representation in hollywood is essentially a shrug anyway,anger,0.417,[],0.078,0.08,0.842,-0.0129,1,2,0,neural,0,0,0,0,0,0,0,0,0,0,0,0
10560,did we miss the fact that swung amp hit his sister in the face with a golf club previously out of a fit of,anger,0.417,"['BurkeRamsey', 'JonBenet']",0.096,0.061,0.843,0.2263,1,1,0,neural,0,0,0,0,1,0,0,0,0,1,0,0
10561,oh dear i have to watch this the woman with the pout did well,anger,0.442,[],0.281,0,0.719,0.5719,2,1,0,neural,1,0,1,0,0,1,0,0,0,0,0,0
10562,life tip 101 i know unresolved is likely to cause problems in several areas of my life i must recognize it amp properly deal with it,anger,0.417,['anger'],0,0.097,0.903,-0.4019,2,2,0,neural,2,0,0,1,0,1,0,1,0,0,1.092345791,0
10563,ofakkad itll be like burning rap albums theyll have to buy it first but gosh darn it they have to get rid of it,anger,0.417,[],0.071,0,0.929,0.1901,1,2,0,neural,0,0,0,0,0,0,0,0,0,0,0,0
10564,they unleashing gods wrath just as cain did,anger,0.417,[],0,0,1,0,1,1,0,neural,0,0,1,0,1,0,0,0,0,1,0,0
10565,its more of a little prick than a sting but you have to come to tennessee to get it1,anger,0.417,[],0,0.079,0.921,-0.1415,0,2,0,neural,0,1,2,0,2,0,0,1,0,2,0,0
10566,dis dat nigga from fume right,anger,0.417,[],0,0.306,0.694,-0.296,1,1,-0.125,neural,0,0,0,0,1,0,0,0,0,0,0,0
10567,projection is perception see it in someone else you also at some level have that within you,anger,0.417,"['anger', 'worry']",0,0,1,0,0,0,0.676,neural,0,0,0,0,0,1,0,0,0,0,2.638834289,0
10568,heather hey jayme were your ear ear burning cuz i was talking about you beamingfacewithsmilingeyes are you going tomorrow,anger,0.417,[],0,0,1,0,0,0,-0.151,neural,1,0,0,0,0,0,0,0,0,0,0,0
10569,one of my favorite songs brother real talk,anger,0.417,['rage'],0.3,0,0.7,0.4588,2,0,-0.125,neural,0,0,0,1,0,4,0,0,0,0,1.303462306,0
10570,controlling is a sign of those people promised in the in surah al imran verses 133 134,anger,0.417,"['anger', 'righteous', 'Paradise', 'Quran', 'reward', 'goodDeed']",0.135,0,0.865,0.3612,0,0,0,neural,0,0,0,0,0,0,0,0,0,0,1.092345791,0
10571,i gave up kendrick lamar to eat barbecue with him,anger,0.417,[],0,0,1,0,0,0,-0.274,neural,0,0,0,0,0,1,0,0,0,0,0,0
10572,the 1975 are playing antichrist why wont play hustle its an outrage,anger,0.417,[],0.112,0.331,0.558,-0.5478,0,1,-3.643,neural,1,2,1,0,2,0,0,0,0,2,0,-3
10573,i blame how broken madden is this year,anger,0.417,[],0,0.478,0.522,-0.6705,0,2,-0.255,neural,0,1,2,0,3,0,1,0,0,3,0,0
10574,no offense but the only way this makes sense is if you work for the magazine otherwise who are you apologizing 4,anger,0.417,[],0.06,0.064,0.876,-0.0207,1,0,0,neural,0,1,1,0,1,1,1,0,0,1,0,0
10575,nahhhhhh snap story has got me bussing up facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy,anger,0.417,[],0,0,1,0,0,0,0,neural,0,0,0,0,0,0,0,0,0,0,0,0
10576,with a frown she lets out a distraught gardevoir saying that she wishes she had a trainer,anger,0.417,[],0.079,0.178,0.743,-0.4588,1,2,-0.307,neural,0,0,0,0,2,0,2,0,0,0,0,0
10577,lets rage,anger,0.417,[],0,0.783,0.217,-0.5574,0,1,-2,neural,0,0,0,0,1,0,0,0,0,1,0,-2
10578,if i could just get my line to block,anger,0.417,"['germantownbroncos', 'lilleague', 'popwarner', 'Broncos', 'usafootball', 'lineman']",0,0.266,0.734,-0.4404,1,1,-1.294,neural,0,0,0,0,0,0,0,0,0,0,0,-1
10579,but arms focused rage is overpowered it will be getting nerfed itll still be stronger than fury though,anger,0.468,[],0.221,0.324,0.455,-0.631,1,2,-0.34,neural,0,0,1,0,2,0,1,0,0,2,0,0
10580,pretty average klitschko fury did about 600k and joshua white did about 450k,anger,0.417,[],0.179,0.207,0.615,-0.128,2,1,0,neural,1,0,1,1,1,1,1,0,0,1,0,0
10581,theyre still using his offense up the middle 3x amp punt,anger,0.417,[],0,0.167,0.833,-0.25,0,0,-0.133,neural,1,1,1,0,1,0,1,0,0,1,0,0
10582,lol love it when you aggravate juan keep up the good work lol,anger,0.242,[],0.525,0.145,0.331,0.8481,2,1,3,neural,1,0,0,2,0,2,0,1,0,0,0,3
10583,tonight legit cant wait to rage signofthehornslightskintone signofthehornslightskintone signofthehornslightskintone signofthehornslightskintone signofthehornslightskintone fire,anger,0.417,[],0.191,0.157,0.653,0.1341,0,1,-2,neural,1,0,1,0,2,0,0,0,0,1,0,-2
10584,seeing got me thinking bout other rappers then i thought about dying and burst into tears smh,anger,0.417,['RIPShawtyLo'],0,0.219,0.781,-0.4939,0,1,-1.185,neural,1,1,1,0,2,0,1,0,0,2,0,0
10585,bellav aholic he looks especially lovely sadly i do not removes potentially indignant mr d from convo,anger,0.417,[],0.273,0.131,0.596,0.5182,2,2,0,neural,1,0,0,1,2,1,2,1,0,1,0,0
10586,my momma irritate me asking all these questions like gone facewithsteamfromnose,anger,0.417,[],0.175,0.196,0.629,-0.0772,1,1,0,neural,0,0,0,0,0,0,0,0,0,0,0,0
10587,the bubble has officially burst 98 boys to beat for the trophy and all the glory,anger,0.29,"['wptmain', 'bye']",0.189,0,0.811,0.5423,1,0,3.189,neural,2,0,0,2,0,2,0,1,0,0,0.471065069,2
10588,sankey haha actually after the doggies im barracking for anyone but gws,anger,0.417,[],0.154,0,0.846,0.25,0,0,0,neural,0,0,0,0,0,0,0,0,0,0,0,0
10589,trouble  he feigned anger and gave her a look that told her to behave he knew she wouldnt though and that was one of,anger,0.417,[],0,0.225,0.775,-0.7506,0,2,0,neural,0,0,0,0,2,0,0,0,0,1,0,0
10590,how his own fans insult him,anger,0.417,[],0,0.398,0.602,-0.5106,0,1,-0.274,neural,0,1,0,0,1,0,1,1,0,1,0,0
